"","average","sd","ratio","ava","avb","cumsum","p","padj"
"0096a1d980072a26847a56ec1e66bc98",0;000433391992490682,0;000344417969819866,1;2583315345519,0;000732539412677037,0;000824572712112548,0;355829166317315,0;845,1
"d4e9c18d5283240c84ca1221f81acb0e",0;000430598141743432,0;000388096347964079,1;10951351127707,0;000861820550743184,0;000587171360353049,0;356561768408631,0;293,1
"f9fbff73df111313aa10a817e3e58b8d",0;000429791035702722,0;000652917723795949,0;658262166945006,0;000632876541220242,0;000413384107268774,0;357292997322694,0;584,1
"64017deee47f9a826e4fdfef4a532747",0;000427590059208965,0;000398779734119846,1;07224621169054,0;000771001059905258,0;000497801575679839,0;358020481585245,0;257,1
"cd702161e80a93be52448ecc1b4c6281",0;000421585889232796,0;000949395070484115,0;444057381736584,0;000564360810760724,0;000359222396778285,0;35873775059823,0;735,1
"43ca952a2f0bbd028632169afaa2d36c",0;000420904918577395,0;000338837149375269,1;24220416608226,0;00089980210972564,0;000771885322311995,0;359453861035554,0;73,1
"a1c0dee298c97cda2af872800f7d5dc2",0;000418498298189772,0;000426934712316449,0;980239568525824,0;000333287224514168,0;000860915561654321,0;360165876947245,0;007,1
"05c6cadac2a6e5e503b5f42602d8c90f",0;000416629655998887,0;000398967690610452,1;04426916215048,0;000709201016762587,0;000501975598797195,0;360874713627434,0;395,1
"3c8f65cf1d65d3aac56375e195bf71d3",0;000415764103817007,0;000370879080621372,1;12102333493826,0;000702849341716359,0;00063390727197752,0;361582077692493,0;487,1
"57e45e1a4cca36765103a43cbea312a1",0;000415545008238395,0;000588725360044913,0;705838471450751,0;00059929457038549,0;000554768865332784,0;362289068997283,0;854,1
"d6c004a9f7eb02d87812725127c80df4",0;000414751135974702,0;000363207699175826,1;14191174062619,0;00123137174757943,0;00102206218811044,0;362994709640228,0;5,1
"d8ac9bdf2e5b9f28be2993c719b4f5e5",0;000411986371956368,0;000473610153454895,0;869885007639737,0;000568769434249384,0;000518386735927199,0;363695646426594,0;988,1
"7a4dbf2b6887f5063e918c58e93f9a0c",0;000410813238613083,0;000409765178067588,1;00255771012666,0;00094244418541913,0;000435910624992649,0;364394587291805,0;013,1
"b3a6e00cc458d82ee853bfaa295cdf8c",0;000410747124692031,0;000404513597586285,1;01540993218261,0;000719301245238561,0;000569012778495653,0;36509341567349,0;702,1
"afae469d2f8127cf83523de80e71fa8d",0;000406797382392812,0;00045913955093047,0;88599943430797,0;000725492873500648,0;000595741896800459,0;365785524124948,0;779,1
"726b9ccbcd2fcbe34360dfc93fbf6497",0;000406439890679228,0;000976658066395969,0;416153723256553,0;000396450978190534,0;000498059029399707,0;366477024354606,0;726,1
"7d73a43fb6e275c8b62e5d8f00290237",0;000405652981403341,0;000335487080684969,1;20914635691817,0;000729165743055093,0;000650827474548476,0;367167185768962,0;815,1
"fb1232e8c3cac86c121108eee0066f39",0;000404997080569006,0;000365255337883847,1;10880537137502,0;000278188790310148,0;000859317231468362,0;367856231260427,0;002,0;8236
"b230e1148725f23ff6dc929ddf693661",0;000404487074631839,0;000337659353464298,1;19791461566785,0;000733444619449628,0;000595012071718106,0;368544409048622,0;574,1
"3b320e229d41c9c464c31b5be43efaed",0;000400379320049884,0;000280851644944721,1;42559008379207,0;0012168432789838,0;000853250287869055,0;369225598070944,0;026,1
"35cbdf49a0fa17f18c749faa5d9a2571",0;000399507557963843,0;000355658045990747,1;12329121319594,0;000541443826221498,0;000727315173241985,0;369905303912859,0;454,1
"712d5e67ccc5704d776e9374c73cfe01",0;000396457728728398,0;000348502252974512,1;13760449278184,0;000836042637971423,0;00134324471707613,0;370579820899878,0;001,0;561545454545455
