"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"47c4cc4fab6388a1f5a690e728585f1b",1;00557295165244,0;089713054717006,0;357826040423089,0;251769395400532,0;801219314369755,0;999863537933897
"81bb7e37b43d1cfdeb758ad5f46d39b2",11;3542044243125,-0;0990757877456086,0;455237974907352,-0;217727903826968,0;827641121093167,0;999863537933897
"23d0c8dfa14a50cd01d8fb066c87be8c",2;84899455148815,-0;0772418806593198,0;423484016447126,-0;183041427286261,0;854765513416337,0;999863537933897
"c177fda73abe6814330cec38f452cd36",2;62525693546302,-0;163325277289248,0;367692121682958,-0;449536955979437,0;653044355059988,0;999863537933897
"07ff497df71397a00e8dfcc8366b678f",3;17126441469292,-0;335005263564686,0;448557505496327,-0;751146186315825,0;452564682324859,0;999863537933897
"780889284c4953d948cdb76d73e6dbc8",11;9420389419272,0;0686615172663478,0;306817405682521,0;223858597929018,0;822867332224389,0;999863537933897
"9c7004d8d39cbdf9f9e8eb1e9aba60e2",7;39978850217713,-0;143684542187101,0;455361411677078,-0;315302468998104,0;752532010554829,0;999863537933897
"a44ee19eaeef12179ecc8fd9bc2a989a",2;96367393011225,0;151102004832626,0;427572999894828,0;354376037703199,0;723057090032946,0;999863537933897
"610bbdde5d9f4e6573e853df3bcae462",1;45604590573582,-0;0377739423496248,0;322277824110709,-0;11778081407958,0;906241331868383,0;999863537933897
"a1b965e0f67291fa5aa9e2489a684160",0;171113017528864,-0;106789787175738,0;258598991864701,-0;40937554629561,0;682264082495226,0;999863537933897
"4a6ed83b8e76369266d60ca5a744ec5b",1;12308357336318,-0;00859856389759062,0;302921283795346,-0;0284964830996556,0;97726617297157,0;999863537933897
