ID	padj	R2	method
c0d942c3bb1bb48acb8e2f6ebb4ceab7	1	-0.230	Spearman
bbcf54f529df7832e6c3d3d5b8ee5bef	1	0.228	Spearman
6cb4b1bf921c0a116e1eb95997f22b61	1	-0.223	Spearman
28c10dce1d3243bcc6bf510e1aee5730	1	-0.245	Spearman
c1c0bf6a6af826bb9ebb91eca40c50bb	1	-0.217	Spearman
53c463fb917774e44b2960ac2c5f0f1b	1	-0.214	Spearman
46afac20f702501206ce6f5e2358f9a1	1	-0.234	Spearman
ef0059416ddffa0c63ca6dbcf95904a1	1	-0.230	Spearman
29247f4b56d90d4b3327cc34cb87b4cd	1	-0.223	Spearman
20b88767861a3499d3a8570bf2be4163	1	-0.228	Spearman
12216e1409854ed57fd0724148262145	1	-0.223	Spearman
c11aa5127085459133ec1dff26999c6c	1	-0.221	Spearman
b3a64dad72bfeedc1b5d1670ff795d50	1	-0.228	Spearman
a4b3fe753aea41fce7755c74609b90e0	1	-0.230	Spearman
9230520e49a9f6eddc03ee6dbefbcac3	1	-0.228	Spearman
77cafc9ce1f58993b25d87e876af13df	1	-0.225	Spearman
721f04f5276805dda6748720b4a93b95	1	-0.221	Spearman
369755a26be1bb28ea1354fa988edd64	1	-0.232	Spearman
20a09c16bcf8ad698529dd3a35ba2ada	1	-0.210	Spearman
0de3ca52aed5c5882ee5d602b8b13d3b	1	-0.228	Spearman
e11a1f338e6c300cdd643270ac0c19f8	1	-0.228	Spearman
be099bbb8144a5472151b3caec1806e5	1	-0.221	Spearman
924e4dd87c225d208988548f362030ac	1	-0.219	Spearman
7ded02a2669c83d6ef737ef7ee94fd3c	1	-0.214	Spearman
29fe3959ed925c1b935b0c84b1e68767	1	0.221	Spearman
01eea946b194327d77977babcef5c9af	1	-0.225	Spearman
f83703e493e8dbd89111181b4b485fdb	1	-0.221	Spearman
e7a4c32ecadd95d57b69b3c47f983c1c	1	-0.228	Spearman
80d9aa36d453897a9d99e896828f5f79	1	-0.228	Spearman
58bb1ff1c3fff4003a49bdf5b4422f5b	1	-0.234	Spearman
58637b96cef74c40d7d735ffbb87790d	1	-0.214	Spearman
45f142473cae0f0f72bba51ff3843b9d	1	-0.219	Spearman
e7a0dbfd93f5136e6bea7e0fc7bd0b80	1	0.225	Spearman
6414f87858ee02c0b00dc7af64325d3a	1	-0.225	Spearman
530d415ec319fe1607c35e139c37229a	1	-0.221	Spearman
210fbd0402f04f38a73ac7ad64a202d5	1	-0.230	Spearman
1e771459fc8a676aa75f16a2f8df506f	1	-0.219	Spearman
cdcb9eb64d07a51e59f858360df4c6e7	1	-0.223	Spearman
a37a9233a52fc4686256599b70fffb35	1	-0.219	Spearman
55444b8521dad13ed32c5f87a436e994	1	0.214	Spearman
30465b2b817de05daf67498e42a68fdd	1	-0.228	Spearman
1b51cdf76b7901bbd8452ee88cfe57bd	1	-0.223	Spearman
d5b070978cc48332b1e7e7549d865c8c	1	-0.214	Spearman
97f4efde67a5a9cd9f05de4f5da0308e	1	-0.217	Spearman
5a082615532cc8e25a56119534930f26	1	0.230	Spearman
2ccf706f5a89fa4faab708124fc87f2b	1	0.219	Spearman
1fb28618b66bf34587e8cdd5d8eec143	1	-0.214	Spearman
101eff913646617a3683b05f1769b166	1	-0.221	Spearman
0f87e517fdd46b75107bdfd9633c3b15	1	-0.221	Spearman
d200486b06f0cb2dc67337e1c8164149	1	-0.212	Spearman
