"","average","sd","ratio","ava","avb","cumsum","p","padj"
"48160ca0f7a161365de38c2fd3b37bd7",8;10369086727592e-05,0;000186491761164959,0;434533451593495,8;30867613975409e-05,9;09948057256511e-05,0;799933354923254,0;671,1
"f973af70a89c9176024b3bff92ac26be",8;10259397627007e-05,0;000169944667454174,0;476778359547819,0;000100789431077791,7;6568976492334e-05,0;800065500194392,0;52,0;951812865497076
"dfaec6b46e286f87af70792da0dd4dc9",8;09695769561462e-05,6;48664572559493e-05,1;24825033432391,0;000108131731679938,0;000169362837241368,0;800197553543382,0;119,0;843495828367104
"d085cf284c9f7bb0c987b418bf3790d9",8;0887515926291e-05,7;49256505064057e-05,1;07957041920344,0;000155666070612386,7;60511608030753e-05,0;800329473058973,0;052,0;750592233009709
"0834cfc57a82091c9ff4da0c46770705",8;082472139775e-05,8;51618122568189e-05,0;949072351278883,8;20646197079859e-05,0;000138590889208307,0;800461290162915,0;37,0;94732601299103
"b8c76d93ca586b6377cc1ad671d796eb",8;08039458565721e-05,0;000108760635431546,0;742952130942908,0;0001318424094732,6;04579782481773e-05,0;80059307338401,0;079,0;823114186851211
"0191c4275cb0e64769aa172c6db55c07",8;07153679626305e-05,0;000147499915973162,0;547223145383465,8;51826738388212e-05,9;64932646812853e-05,0;800724712143347,0;833,1
"7836ca3a88324f71a5de43f73a5cc749",8;06280746347836e-05,0;000113069905185615,0;713081650704714,0;000144379096289896,6;3776230693044e-05,0;800856208535923,0;123,0;845735891647856
"dfc9bf1638207e105df9849a3b0e2520",8;05177743016755e-05,8;42458012957623e-05,0;955748216092113,0;000160874878080444,3;05528133827341e-05,0;800987525039597,0;002,0;29009756097561
"bd56fc655bad70dfd017db06d0e94be8",8;03721787005391e-05,0;00010153616244715,0;791562107169191,0;000130211044180197,7;36745293154819e-05,0;801118604091286,0;187,0;890725501113586
"1b3ebf4c29e57e4df1347c604838c85e",8;02696482124171e-05,0;000128786605173238,0;623276373380928,0;000115508712970533,7;39284367025552e-05,0;801249515925918,0;265,0;890725501113586
"9f7f4cfed6cf0a3817b04500c2d11ea6",8;02522214320604e-05,0;000102574470060529,0;782380073567072,0;000117953312460573,8;29528582484821e-05,0;8013803993392,0;475,0;94732601299103
"af3fcad0063af1e6308b91022531033b",8;02510077082717e-05,8;14691208152303e-05,0;985048161870788,0;000163419420597585,3;70605358927799e-05,0;80151128077302,0;003,0;318589285714286
"b7cee85c5f199b3952d94bee644d339e",8;02430677336788e-05,6;71761812226403e-05,1;19451666160854,0;000196120880714779,0;00020865992980134,0;801642149257528,0;9,1
"1aec603fbfb3eea90bdcd895d3650b2c",8;01626779064807e-05,8;89225703440965e-05,0;901488537682633,0;000138015063696905,6;9515132057448e-05,0;801772886634201,0;077,0;823114186851211
