"","average","sd","ratio","ava","avb","cumsum","p","padj"
"01b8c2a6b83647c069fb02c418e47465",0;000583275664711228,0;00196961625191408,0;296136703860155,0;000995666648827359,0;000235346909564785,0;315902591772987,0;552,1
"2907316211ede8c513cce3876cad493f",0;000582002065312167,0;000626823417966596,0;92849445095745,0;000832072048057684,0;000912775449075687,0;316936767449958,0;643,1
"cb440db8c2a53bbd33d00af352fc7818",0;000578601868686141,0;000466326731232852,1;24076496141763,0;00130317577962421,0;00141833368827496,0;317964901222858,0;896,1
"35cf7900898adde1b2dd43ee55a1d998",0;000577156418087065,0;000542120862059788,1;0646268359682,0;00202369557827007,0;00165304622468998,0;318990466534337,0;355,1
"fb03d40cd446618747e4cff25e3ee747",0;000576862841464132,0;000465835966410781,1;2383389928193,0;00210998445981744,0;0020172827231593,0;320015510181339,0;847,1
"3987f04305f66790cf5390f5a0418c29",0;000575473058035992,0;00106878363127607,0;538437379836095,0;000496085460349288,0;000802236429181794,0;321038084283467,0;587,1
"4e7c900aa0822b184d75bfb4acda4485",0;000575456759077926,0;000670377497032837,0;858407034282862,0;000869140718560272,0;00105049072906805,0;322060629423521,0;956,1
"49fa2fcb6d325a7d43ba2ade274d7c80",0;000570830339915659,0;000664727148167507,0;858743834202201,0;000866439585202255,0;000801070504363791,0;323074953750534,0;875,1
"d0c0661ec09261d222cd6d184acc3540",0;000563761020854556,0;00136043599072792,0;414397314314587,0;000204753050273524,0;000988226497617289,0;324076716407647,0;187,1
"220e29a3e775d9def00987bd7b2675c6",0;00055769011809934,0;000570442828284608,0;977644192278449,0;0011456396855707,0;000426441611746287,0;325067691508596,0;01,1
"e85ffd2d6b9fbc2f0091fa28d1fcbb9c",0;000555223702416536,0;000401702815569262,1;38217528206696,0;00172320673925837,0;00171633867710098,0;326054283966836,0;895,1
"6b7cea549d41a75428d8ec3c06b226ba",0;00055459903144069,0;000427254892838243,1;29805191406119,0;000982645685228154,0;00120161070116333,0;327039766429823,0;577,1
"851627138abfe5a212677381d67323a1",0;000543082622465117,0;000589780842284145,0;920821063569695,0;00109468013820083,0;00114965041514325,0;328004785065002,0;783,1
"d6c004a9f7eb02d87812725127c80df4",0;000534611049281258,0;000536434080572846,0;996601574438296,0;00188631058967567,0;00174154943237821,0;328954750325881,0;963,1
"bb5b658d6bab3d0a8adc9f372a948e8a",0;000534303944586027,0;000664652778808713,0;803884316174356,0;000846145304394334,0;000793387383621047,0;329904169883876,0;992,1
"ac0d55f56431cc6f9854ab12f80fa9f0",0;000525595500209783,0;000421269964526561,1;24764532121455,0;00143803473371161,0;00135769638757392,0;330838115164552,0;755,1
"ae2c42c4f38b3116dc1bf41c16ddd3bf",0;000521552726461808,0;000517816908464475,1;00721455390171,0;000961030246771715,0;000955714645788116,0;331764876727976,0;939,1
"7a36e01ffbfd96223b6b7192ae5a6b13",0;00051789285012401,0;000428428490661658,1;20881981803821,0;00158798035165924,0;00193038553165866,0;332685134955218,0;231,1
"935212b97c652c22289220045bc60f3a",0;000516409802291441,0;000429099302847085,1;20347387857554,0;00090408439944781,0;00102993648815488,0;333602757913468,0;507,1
"0122dff4494d6d1d8a9c4442beea16c1",0;000510237906839382,0;000522774350674978,0;976019397624597,0;00100693122869174,0;000886084760185948,0;334509413858819,0;317,1
