"","cnth","unobh","cntd","unobd","fisher_p_both","padj"
"0b3a1697f63954fffb01a13612509022",7,23,5,25,0;748049793024105,1
"0b3e0aa4b41d3d90fd6f5201084fce08",20,10,14,16,0;192316886243639,1
"0b50f7966431f420af691409b01b81a1",14,16,13,17,1,1
"0b55020f4a2fdde734ab59299228cd15",3,27,2,28,1,1
"0b60ee0e38c3fc59567c45781ede7c8e",1,29,0,30,1,1
"0b61fd703732b89ed104e9c6b7a92904",14,16,10,20,0;429569193194763,1
"0b63320439ff3facf8f04003437b1751",17,13,14,16,0;605807173273187,1
"0b71fbf2702679d24eb46d1a27f943e3",11,19,14,16,0;600950466520637,1
"0b8125827682bf91849fadd7fe90e747",29,1,27,3,0;611953612845674,1
"0b82382fc1c0475abb02afdfa9e1518d",5,25,4,26,1,1
"0b841e2a8bca7ec80b95d6695afe18ec",3,27,1,29,0;611953612845674,1
"0b9ccdbc4d9d7c9df5fedab775ee59bc",4,26,3,27,1,1
"0ba6910ee51094b3c0ef7d67b90f1844",1,29,1,29,1,1
"0ba7aded4c68c21a0f837f452fc4d9ea",30,0,29,1,1,1
"0bae6b5dc095a6d2f25ab49c1a6a9b31",16,14,17,13,1,1
"0bb03127b4b9c2404e927ae572b8d409",4,26,4,26,1,1
"0bbd3f4e7750572dd40ae23b516335c9",21,9,21,9,1,1
"0bbedfebf1cfe51ff6c203949e651ac5",16,14,15,15,1,1
"0bc1b28e0da630e6335990562a7ae292",1,29,1,29,1,1
"0bc5794ddd464b4c41c46375e8c4290b",17,13,10,20,0;118764899192019,1
"0bd5365fd82a062bb27053afd17b5216",3,27,3,27,1,1
"0be1ec61c1915b33dcbbc55cffac8d08",16,14,13,17,0;605807173273187,1
"0be5ba8ab37a0da619e2f451204db9e7",12,18,11,19,1,1
"0be795b70d97d534bf9d0f59fa396731",3,27,2,28,1,1
"0bf3e1cf5ceabe8a96d8a6461d8d6dd6",4,26,4,26,1,1
"0bf3fb03264047d40b5c114ab31f6315",3,27,1,29,0;611953612845674,1
"0bf523eeb3b0a9dd503377a64c45fef1",5,25,1,29,0;19450977211905,1
"0bf98da788e330acb4d0d96f8d0b8b77",5,25,5,25,1,1
"0c03f00db17e0f2b93c034cbfe80d3eb",6,24,3,27,0;471644558965516,1
"0c0b152709dcb2b36e61a40068d7102f",0,30,1,29,1,1
"0c0b857ebb6ce253f30799f1c959b227",1,29,1,29,1,1
"0c11bd47fb660f5ffb8a6f1749a90d87",4,26,5,25,1,1
"0c1aefaf3731ad289e370a23488323c8",1,29,1,29,1,1
"0c1eb28753f6f2fd45fb6b14a57d345b",23,7,21,9,0;771023976031026,1
"0c202d0d455eb3cb940a62e9d0adf276",7,23,5,25,0;748049793024105,1
"0c2876516697b48c935a491c4f614506",24,6,22,8,0;761068496728027,1
"0c3753b19903700442f5ef2106f6da99",3,27,2,28,1,1
"0c37c779716a19634119160d52c36811",4,26,3,27,1,1
"0c398d8e4512b474122b2dc8c5407c03",18,12,22,8,0;411756597048106,1
"0c57b867fa577e6e20c5dbccb6c56af9",12,18,13,17,1,1
"0c67a012c611d2df95f896d8e1f70d40",1,29,2,28,1,1
"0c700a088eb502eee665e2226f165b87",8,22,7,23,1,1
"0c82800b646bfc0edc9dde04b87d1770",4,26,3,27,1,1
"0c8b2126c48970fd6095587af877e265",16,14,15,15,1,1
"0c8caa360f284febca859b9b2497f623",2,28,0,30,0;491525423728814,1
"0c93788cf072153a86f2524fe7e392c8",2,28,5,25,0;42380990998297,1
"0c9c4cb8e700aa95699e1085f710f4cd",2,28,2,28,1,1
"0ca79c4134182e3d86e824276f787b46",20,10,18,12,0;789170351739782,1
"0cb267c2973350492dae89a2eb3fbe6c",22,8,24,6,0;761068496728027,1
"0cc9d6799693b6d57a35a36f9d8b04a8",2,28,2,28,1,1
"0cde04d9ab78bb1c1e5c7497cc9a819f",3,27,1,29,0;611953612845674,1
"0cdf838a29facf2c340d9939e262b5dc",14,16,12,18,0;794774525639185,1
"0cec552b38ec09d308d7eef4b7e85315",12,18,13,17,1,1
"0cf64c66f4b8d6479c412140a67bb37a",16,14,17,13,1,1
"0d109019354a1165624d1099d2e220d6",3,27,1,29,0;611953612845674,1
"0d257beebb33de1e24055bc3e294f02f",2,28,2,28,1,1
"0d349f32b95ff31c5d9ea27f6a9a6418",8,22,9,21,1,1
"0d36b7e5824df0a896aef19e4ceeb515",27,3,27,3,1,1
"0d37f4b4d2fe2073f0aedaebf7a54a1b",2,28,1,29,1,1
"0d5262f3c74274c5f182ab96f8734168",0,30,2,28,0;491525423728814,1
"0d5450347cb751287813f432f5604b74",10,20,5,25,0;232598470393837,1
"0d5ed57acc1b125bb7792e12acfdbbac",11,19,11,19,1,1
"0d805e9158276e050707be0b7da8c451",9,21,7,23,0;771023976031026,1
"0d8b89fe670b36bde56285990bdaae1f",28,2,29,1,1,1
"0d927213bbc5d8f1d1adcba772f610de",1,29,1,29,1,1
"0da8f40cd923f63c824116e2aaef92e3",5,25,5,25,1,1
"0dc1db77d3a9494496a058b3d3335f9b",10,20,12,18,0;789170351739782,1
"0dc934052e3ef5f255e2872e133a18fa",16,14,17,13,1,1
"0dcd514db83552efc33a028d6b72a4a7",5,25,2,28,0;42380990998297,1
